campaigns	date	Event	EventLink	values
I am the future of work	01/09/2019	Education at a glance		1
I am the future of work	01/09/2019	back to school campaign		1
I am the future of work	01/10/2019	International teacher's day		1
I am the future of work	01/11/2019	Pensions at a glance		1
I am the future of work	01/11/2019	Global Social Protection Week		1
I am the future of work	01/12/2019	PISA		1
I am the future of work	01/12/2019	Global Deal Conference		1
I am the future of work	01/12/2019	LEED forum		1
I am the future of work	01/03/2020	Ministerial summit of the teaching profession		1
Climate	01/09/2019	Accelerating Climate Action		1
Climate	01/10/2019	Environment at a Glance		1
Climate	01/10/2019	Green investment Financing Forum		1
Climate	01/10/2019	Climate Mitigation Report		1
Climate	01/11/2019	Aligning dev co-op w/Paris agreement		1
Inequality/inclusivegrowth	01/09/2019	Migration Outlook		1
Inequality/inclusivegrowth	01/09/2019	NAEC Conference		1
Inequality/inclusivegrowth	01/09/2019	B4IG		1
Inequality/inclusivegrowth	01/10/2019	Climate Mitigation Report		1
Inequality/inclusivegrowth	01/10/2019	World Habitat Day		1
Inequality/inclusivegrowth	01/11/2019	OECD conference on child well-being	1
Inequality/inclusivegrowth	01/01/2020	Migration ministerial and policy forum		1
Inequality/inclusivegrowth	01/02/2020	Violence against woman & girls conference		1
Development	01/09/2019	Africapolis		1
Development	01/11/2019	Aligning dev co-op w/Paris agreement		1
Development	01/11/2019	DAC report		1
Going Digital	01/09/2019	Blockchain forum (OECD)		1
Going Digital	01/09/2019	AI observatory		1
Going Digital	01/10/2019	Trust in business forum		1
Going Digital	01/11/2019	Global forum on dig security		1
Going Digital	01/12/2019	AI OBSERVATORY		1
Going Digital	01/03/2020	Oecd integrity week		1
Going Digital	01/03/2020	Digital economy outlook 		1
BetterLives	01/10/2019	GPN		1
BetterLives	01/10/2019	World Habitat Day		1
BetterLives	01/11/2019	Health at a Glance		1
BetterLives	01/03/2020	Oecd eurasia week		1
BetterLives	01/03/2020	How’s life: measuring well-being		1
BetterLives	01/03/2020	Oecd integrity week		1
